============,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
SMd,SMt,0.0107,0.4024,20,,,,,,,,,,,,,
SMd,SMt,0.0107,0.4024,20,Email-Enron.txt,,,,,,,,,,,,
SMd,SMt,0.0192,0.1489,29.1,wiki-Vote.txt,,,,,,,,,,,,
SMd,SMt,0.0049,0.3579,19.3,Gowalla_edges.txt,,,,,,,,,,,,
SMd,SMt,0.0281,0.0887,43.7,facebook.txt,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
=============,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
1.56148E+12, Gowalla_edges.txt,35%, kc=9 ,,,,168.063, SMt,1.344,0.165,2.132,,,,,,
1.56148E+12, Gowalla_edges.txt,43%, kc=8 ,,,,133.185, SMt,1.26,0.203,1.872,,,,,,
1.56148E+12, Gowalla_edges.txt,43%, kc=7 ,,,,133.185, SMt,1.26,0.203,1.872,,,,,,
1.56148E+12, Gowalla_edges.txt,55%, kc=6 ,,,,185.124, SMt,1.161,0.268,1.591,,,,,,
1.56148E+12, Gowalla_edges.txt,55%, kc=5 ,,,,185.124, SMt,1.161,0.268,1.591,,,,,,
1.56148E+12, Gowalla_edges.txt,72%, kc=4 ,,,,111.889, SMt,1.043,0.407,1.299,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
06-26_01-35_, Gowalla_edges.txt,59%, kc=0.6 ,,,,-105.168, SMt,1.227,0.683,0.582,,,,,,
06-26_01-36_, Gowalla_edges.txt,40%, kc=0.4 ,,,,-281.304, SMt,2.88,0.66,0.386,,G,-452.898,12.408,0.501,0.192
06-26_01-36_, Gowalla_edges.txt,20%, kc=0.2 ,,,,-452.898, SMt,12.408,0.501,0.192,,,-206.66,2.244,0.671,0.193
06-26_01-36_, wiki-Vote.txt,59%, kc=0.6 ,,,,-20.053, SMt,2.835,1.097,0.596,,,,,,
